Category;Term;Count;List Total;Pop Hits;Pop Total;P-Value;Benjamini;Fold Enrichment;Bonferroni;FDR;Fisher Exact;User Ids
UP_SEQ_FEATURE;CARBOHYD:N-linked (GlcNAc...) asparagine;47;143;3741;22331;3.52E-06;6.62E-04;1.96;2.40E-03;6.57E-04;1.76E-06;SLC35B3,PTPRU,PHTF2,PKDCC,CD83,ITGB5,NXPH3,TMEM94,GRIK1,LDLRAD3,AQP4,DLL1,LYPD6,FBLN2,NKAIN1,WNT11,EDNRB,BOC,PIEZO2,LIPM,ITGAV,ASIC2,MEST,SIL1,JAG2,ABCA1,CHST9,JAG1,GALNT2,PTCH1,GALNT1,TPBG,ADAM10,SLC39A10,MERTK,BMP7,DKK2,EFNA1,PMP22,PLXNB2,CNTN2,B3GNT2,ASPHD2,DSG2,STT3B,FGFR3,DSCAML1
UP_SEQ_FEATURE;COMPBIAS:Basic and acidic residues;66;143;6226;22331;3.88E-06;6.62E-04;1.66;2.65E-03;6.57E-04;2.31E-06;SLC35B3,PHTF2,SLC44A1,TMEM200B,ZFAND3,THUMPD2,TRP63,ZFP608,RORA,ARHGEF10L,ARRB1,RNF157,PIEZO2,ITGAV,PHLDA1,SIL1,BAHCC1,SOX5,EDARADD,PLEKHG1,KLF13,TPM1,ARID5B,ADAM10,KAZN,SLC39A10,FRMD4B,FOXP4,PPRC1,KLF15,AJAP1,CACNB2,TIAM1,DMRTA1,KIFC3,PDZRN3,DSCAML1,PKDCC,ZFP503,HPCA,HIF1A,FBLN2,DLL1,LMAN1,FIP1L1,NNAT,NRIP1,HES1,FILIP1L,LY6G6E,BCL9L,OFCC1,JAG2,GALNT2,PTCH1,HMGA2,TBX6,FANCE,DEF6,MEIS1,PDE10A,LHX1,CTNNB1,STT3B,FGFR3,ENGASE
GOTERM_BP_DIRECT;cell differentiation;17;144;779;26481;5.11E-06;9.45E-04;4.01;7.92E-03;9.23E-04;1.24E-06;JAG2,EDARADD,PRKCH,PKDCC,TRP63,NR2F2,HIF1A,FOXO1,WNT11,LHX1,GNA12,PMP22,CTNNB1,NKX1-1,BMPR1B,FGFR3,SOX5
GOTERM_BP_DIRECT;positive regulation of Notch signaling pathway;6;144;47;26481;5.47E-06;9.45E-04;23.48;8.47E-03;9.23E-04;2.08E-07;JAG2,SOX2,JAG1,TRP63,HES1,DLL1
GOTERM_CC_DIRECT;cell-cell junction;10;144;239;26676;6.02E-06;1.40E-03;7.75;1.40E-03;1.32E-03;7.42E-07;TIAM1,PTPRU,PRKCH,CTNNB1,AQP4,DSG2,DLL1,SKAP1,MPP7,DEF6
UP_KW_MOLECULAR_FUNCTION;Activator;19;102;701;12834;7.84E-06;3.68E-04;3.41;3.68E-04;3.68E-04;2.22E-06;TEAD4,KLF13,RBPMS,CITED4,ARID5B,TRP63,RORA,NR2F2,PPRC1,KLF15,HIF1A,FOXO1,SOX2,SBNO2,MEIS1,NRIP1,CTNNB1,BCL9L,SOX5
GOTERM_BP_DIRECT;negative regulation of canonical Wnt signaling pathway;8;144;141;26481;1.19E-05;1.80E-03;10.43;1.84E-02;1.76E-03;1.08E-06;SOX2,PTPRU,WNT11,TPBG,CTNNB1,MEST,FOXO1,DKK2
GOTERM_BP_DIRECT;positive regulation of cell population proliferation;15;144;654;26481;1.30E-05;1.80E-03;4.22;2.00E-02;1.76E-03;2.99E-06;HMGA2,TRP63,ADAM10,IRS2,ARRB1,DLL1,HIF1A,TIAM1,MEIS1,EDNRB,MAB21L1,CTNNB1,HES1,ITGAV,FGFR3
GOTERM_BP_DIRECT;positive regulation of cell differentiation;7;144;96;26481;1.39E-05;1.80E-03;13.41;2.13E-02;1.76E-03;9.66E-07;SOX2,JAG1,PPP1R13L,CTNNB1,BMP7,FGFR3,SOX5
GOTERM_BP_DIRECT;neuronal stem cell population maintenance;5;144;28;26481;1.51E-05;1.81E-03;32.84;2.32E-02;1.76E-03;3.94E-07;SOX2,JAG1,HES1,DLL1,FOXO1
GOTERM_BP_DIRECT;pattern specification process;6;144;61;26481;2.00E-05;2.22E-03;18.09;3.06E-02;2.17E-03;1.01E-06;LHX1,PTCH1,ALX3,TRP63,HES1,BMP7
UP_KW_MOLECULAR_FUNCTION;Developmental protein;23;102;1084;12834;2.84E-05;4.45E-04;2.67;1.33E-03;4.45E-04;1.03E-05;JAG2,EDARADD,JAG1,PKDCC,IRX3,TRP63,RORA,TBX6,BMP7,DLL1,DKK2,SOX2,SUPT20,MEIS1,WNT11,LHX1,MAB21L1,NNAT,ALX3,PLXNB2,ITGAV,HOXB1,WLS
UP_KW_MOLECULAR_FUNCTION;Developmental protein;23;102;1084;12834;2.84E-05;4.45E-04;2.67;1.33E-03;4.45E-04;1.03E-05;JAG2,EDARADD,JAG1,PKDCC,IRX3,TRP63,RORA,TBX6,BMP7,DLL1,DKK2,SOX2,SUPT20,MEIS1,WNT11,LHX1,MAB21L1,NNAT,ALX3,PLXNB2,ITGAV,HOXB1,WLS
GOTERM_BP_DIRECT;anatomical structure formation involved in morphogenesis;5;144;33;26481;2.95E-05;3.06E-03;27.86;4.49E-02;2.99E-03;9.31E-07;SOX2,LHX1,TRP63,HOXB1,BMP7
GOTERM_BP_DIRECT;odontogenesis of dentin-containing tooth;6;144;67;26481;3.16E-05;3.07E-03;16.47;4.79E-02;3.00E-03;1.77E-06;JAG2,EDARADD,CTNNB1,TRP63,BMP7,DLL1
GOTERM_MF_DIRECT;RNA polymerase II cis-regulatory region sequence-specific DNA binding;19;143;1080;24402;5.77E-05;1.05E-02;3;2.08E-02;1.04E-02;1.86E-05;TEAD4,KLF13,IRX3,TRP63,RORA,NR2F2,TBX6,FOXP4,KLF15,HIF1A,FOXO1,SOX2,MEIS1,DMRTA1,NRIP1,NKX1-1,HES1,HOXB1,SOX5
